,lcID,lcEta,lcPhi,lcX,lcY,lcZ,lcLayer,lcEnergy,lcToTrack1,lcToTrack2,lcToTrack3,isSeed
249,249.0,1.5961124897003174,-0.5869014263153076,119.98259735107422,-79.79769134521484,340.8672790527344,14.0,0.01239094790071249,0.0,-1.0,-1.0,0.0
250,250.0,1.6865676641464233,-0.9498873949050903,76.04186248779297,-106.31031036376953,340.8672790527344,14.0,0.05629800632596016,0.0,-1.0,-1.0,0.0
251,251.0,1.7563941478729248,-0.882386326789856,77.08211517333984,-93.69789123535156,340.8672790527344,14.0,0.010236000642180443,0.0,-1.0,-1.0,0.0
252,252.0,1.7098634243011475,-0.8904185891151428,80.202880859375,-99.10321807861328,340.8672790527344,14.0,0.010236000642180443,0.0,-1.0,-1.0,0.0
253,253.0,1.6868274211883545,-0.8468973636627197,86.5444107055664,-97.90203857421875,340.8672790527344,14.0,0.022357583045959473,0.0,-1.0,-1.0,0.0
254,254.0,1.6565402746200562,-0.8443098068237305,89.66517639160156,-100.90498352050781,340.8672790527344,14.0,0.011582843028008938,0.0,-1.0,-1.0,0.0
255,255.0,1.6470162868499756,-0.8329059481620789,91.74568176269531,-100.90498352050781,340.8672790527344,14.0,0.023704424500465393,0.0,-1.0,-1.0,0.0
256,256.0,1.6671924591064453,-0.7910829782485962,93.8261947631836,-94.89907836914062,340.8672790527344,14.0,0.047947585582733154,0.0,-1.0,-1.0,0.0
257,257.0,1.6239489316940308,-0.8250604867935181,94.86643981933594,-102.7067642211914,340.8672790527344,14.0,0.0859285295009613,0.0,-1.0,-1.0,0.0
258,258.0,1.6457901000976562,-0.803971529006958,94.75157165527344,-98.33831787109375,340.8672790527344,14.0,0.10128253698348999,0.0,-1.0,-1.0,0.0
259,259.0,1.823091983795166,2.5691962242126465,-95.60995483398438,61.60674285888672,342.8927917480469,15.0,0.03397340700030327,1.0,-1.0,-1.0,0.0
260,260.0,1.8586443662643433,2.360090970993042,-77.77562713623047,77.17189025878906,342.8927917480469,15.0,0.05096011236310005,1.0,-1.0,-1.0,0.0
261,261.0,1.897141933441162,2.3736021518707275,-75.69510650634766,73.1045913696289,342.8927917480469,15.0,0.026288945227861404,1.0,-1.0,-1.0,0.0
262,262.0,1.8517472743988037,2.326610803604126,-75.69510650634766,80.31169128417969,342.8927917480469,15.0,0.06430681049823761,1.0,-1.0,-1.0,0.0
263,263.0,1.9292335510253906,2.3503191471099854,-71.53408813476562,72.37963104248047,342.8927917480469,15.0,0.04125342145562172,1.0,-1.0,-1.0,0.0
264,264.0,1.887099266052246,2.3141417503356934,-71.969482421875,78.2921371459961,342.8927917480469,15.0,4.879632472991943,1.0,-1.0,-1.0,0.0
